codigo,titulo,tipo,zona,departamento,municipio,hab,banos,parqueos,m2_constr,unidad_m2,terreno,unidad_terreno,precio,moneda,descripcion,url,imagen,lat,lng,geo_tipo
qc3690,Casa en Venta en Las Colinas: Disfruta de la Comodidad y la Belleza,Casa,Las Colinas,Managua,Managua,4,4.5,4,400.00,Mt²,"1,239.00",Vrs²,365000.00,USD,"Preciosa casa de dos plantas en venta en Las Colinas, zona exclusiva, tranquila y silenciosa, cerca de centros comerciales, gasolineras, bancos y farmacias. Cuenta con hermosos espacios y acabados de...",https://www.quierocasa.com/anuncio/qc3690/0/casa-en-venta-en-las-colinas-disfruta-de-la-comodidad-y-la-belleza.htm,https://www.quierocasa.com/gallery/qc3690/350/qc3690-24.jpg,12.1964007,-86.3692092,village
qc4565,Tu sueño hecho realidad: Terreno espectacular en venta,Terreno,Carretera a Diriamba,Diriamba,Carazo,,,,,,10.00,Vrs²,350257.95,USD,"Precioso terreno ubicado en las orillas de la carretera panamericana Diriamba, jinotepe. Excelente ubicacion, seguro y tranquilo de fácil acceso, a pocos minutos de gasolineras, centro de compras, fa...",https://www.quierocasa.com/anuncio/qc4565/0/tu-sueno-hecho-realidad-terreno-espectacular-en-venta.htm,https://www.quierocasa.com/gallery/qc4565/350/qc4565-1.jpg,11.7959292,-86.3821205,tertiary
qc3914,Bonita casa en venta en villa Fontana,Casa,Villa Fontana,Managua,Managua,3,3.5,4,330.00,Mt²,,,310000.00,USD,"Se vende preciosa casa en Villa Fontana, ubicada en zona tranquila, segura y silenciosa, de fácil acceso, cerca de centro de compras, supermercados, escuelas, hospitales y bancos. La propiedad cuent...",https://www.quierocasa.com/anuncio/qc3914/0/bonita-casa-en-venta-en-villa-fontana.htm,https://www.quierocasa.com/gallery/qc3914/350/qc3914-1.jpg,12.1033874,-86.2671277,administrative
qc4663,Descubre el confort en Santo Domingo: Casa en venta,Casa,Santo Domingo,Managua,Managua,4,4,2,800.00,Mt²,"2,300.00",Vrs²,780000.00,USD,"Preciosa propiedad disponible para venta en Santo Domingo, ubicada en zona exclusiva, céntrica y segura, de fácil acceso, cerca de centro de compras, escuelas, hospitales, supermercados, gasosineras...",https://www.quierocasa.com/anuncio/qc4663/0/descubre-el-confort-en-santo-domingo-casa-en-venta.htm,https://www.quierocasa.com/gallery/qc4663/350/qc4663-1.jpg,12.1516383,-86.2663177,administrative
qc4175,El terreno ideal para la casa de tus sueños,Terreno,Las Colinas,Managua,Managua,,,,,,744.00,Vrs²,60000.00,USD,"Increible oportunidad en exclusivo condominios de managua, ubicado en zona céntrica, segura y de fácil acceso, cerca de centros comerciales, escuelas, hospitales, gasolneras y centros de recreación...",https://www.quierocasa.com/anuncio/qc4175/0/el-terreno-ideal-para-la-casa-de-tus-suenos.htm,https://www.quierocasa.com/gallery/qc4175/350/qc4175-2.jpg,12.1964007,-86.3692092,village
qc4451,Hermosa casa en venta por Colegio Americano,Casa,Colegio Americano,Managua,Managua,3,3.5,2,215.07,Mt²,318.36,Vrs²,200000.00,USD,"Hermosa y moderna casa en venta en Condominio Montesol, ubicada en zona céntrica, segura y de fácil acceso, cerca de escuelas, hospitales, supermercados, restaurantes, tiendas, gasolineras y bancos....",https://www.quierocasa.com/anuncio/qc4451/0/hermosa-casa-en-venta-por-colegio-americano.htm,https://www.quierocasa.com/gallery/qc4451/350/qc4451-1.jpg,12.1120237,-86.2777957,school
qc4584,Precioso local comercial en venta,Local Comercial,Masaya,Masaya,Masaya,,3,16,800.00,Mt²,"1,300.00",Vrs²,500000.00,USD,"Se Vende Elegante e Imponente Edificio en el Centro de la Ciudad de Masaya. ubicado en zona céntrica, segura y de fácil acceso, cerca de centro de compras, tiendas, escuelas, hospitales, gasolinera...",https://www.quierocasa.com/anuncio/qc4584/0/precioso-local-comercial-en-venta.htm,https://www.quierocasa.com/gallery/qc4584/350/qc4584-1.jpg,11.9736474,-86.0960547,administrative
qc4634,Preciosa propiedad en venta en la Estancia de Santo Domingo,Casa,Santo Domingo,Managua,Managua,3,3,5,375.00,Mt²,"3,000.00",Vrs²,570000.00,USD,"Preciosa casa estilo colonial en venta en La Estancia de Santo Domingo. Ubicada en zona exclusiva, céntrica y segura, de fácil acceso, cerca de centros comerciales, escuelas, hospitales, gasolinera...",https://www.quierocasa.com/anuncio/qc4634/0/preciosa-propiedad-en-venta-en-la-estancia-de-santo-domingo.htm,https://www.quierocasa.com/gallery/qc4634/350/qc4634-1.jpg,12.1516383,-86.2663177,administrative
qc4173,Moderna casa en venta en Santo Domingo,Casa,Santo Domingo,Managua,Managua,3,3.5,2,330.00,Mt²,"1,207.00",Vrs²,430000.00,USD,"Moderna y espaciosa casa en venta en Santo Domingo, ubicada en zona exclusiva, céntrica y segura, a pocos minutos de centro de compras, restaurantes, supermercados, estaciones de servicio, escuelas y...",https://www.quierocasa.com/anuncio/qc4173/0/moderna-casa-en-venta-en-santo-domingo.htm,https://www.quierocasa.com/gallery/qc4173/350/qc4173-1.jpg,12.1516383,-86.2663177,administrative
qc3316,Venta de terreno en las Colinas,Terreno,Esquipulas,Managua,Managua,,,,,,180.00,Vrs²,75000.00,USD,Bonito terreno en Esquipulas sobre la calle. 1980 ves de terreno.,https://www.quierocasa.com/anuncio/qc3316/0/venta-de-terreno-en-las-colinas.htm,https://www.quierocasa.com/gallery/qc3316/350/qc3316-1.jpg,12.0745878,-86.2158151,neighbourhood
