titulo,precio,tamano_lote,tipo_unidad_lote,source,localizacion,coordenadas,enlace,barrio_colonia,municipio_ciudad,departamento_provincia
"Ticuantepe, NIC, #Escuela los garcia, 200mts al este, Ticuantepe, Managua 16300",348415,48690.69,SQ_MT,kwnicaragua.com,Si,"12.0243796,-86.1794561",https://kwnicaragua.kw.com/property/Escuela-los-garcia-200mts-al-este-Ticuantepe-Managua-16300/1780357187655104,,Ticuantepe,Managua
"Managua, NIC, Managua, Managua, NIC",250000,321.45,SQ_MT,kwnicaragua.com,Si,"12.142108890061941,-86.27977798974611",https://kwnicaragua.kw.com/property/Managua-Managua-NIC/1993099530124480,Martha Quezada,Managua,Managua
"Managua, NIC, #De la mansión Teodolinda 1 1/2 C al sur,, Managua, Managua 31000",290000,709.62,SQ_MT,kwnicaragua.com,Si,"12.1398397,-86.2806064",https://kwnicaragua.kw.com/property/De-la-mansin-Teodolinda-1-12-C-al-sur-Managua-Managua-31000/2007976050147936,Bolonia,Managua,Managua
"Masaya, NIC, Masaya, Masaya, NIC",136000,27848.22,SQ_MT,kwnicaragua.com,Si,"12.071520096872156,-86.08734825986664",https://kwnicaragua.kw.com/property/Masaya-Masaya-NIC/2009294412026140,,Masaya,Masaya
"Carretera a Masaya, NIC, Carretera a Masaya, Managua, NIC",315952,7192,SQ_MT,kwnicaragua.com,Si,"12.064588857717572,-86.22251445473631",https://kwnicaragua.kw.com/property/Carretera-a-Masaya-Managua-NIC/1782835140508480,Urbanización Xochitlán,Managua,Managua
"Managua, NIC, Managua, CARRETERA MASAYA, NIC",37350,1053.61,SQ_MT,kwnicaragua.com,Si,"12.0370961,-86.1866721",https://kwnicaragua.kw.com/property/Managua-CARRETERA-MASAYA-NIC/1943498069945280,,Ticuantepe,Managua
"Managua, NIC, esquina opuesta cascada del bosque #villa fonta Norte , Managua, Managua 14173",151200,4262,SQ_MT,kwnicaragua.com,Si,"12.0690125,-86.26957809999999",https://kwnicaragua.kw.com/property/esquina-opuesta-cascada-del-bosque-villa-fonta-Norte-Managua-Managua-14173/1892187717172544,La Esperanza,Managua,Managua
"Ticuantepe, NIC, Ticuantepe La Borgoña km 19 1/2 carretera a la Concha, Despues del Restaurante Las Conchas Negras Ticuantepe La Borgoña km 19 1/2 carretera a la Concha #Ticuantepe La Borgoña km 19 1/2 carretera a la Concha, Despues del Restaurante Las Conchas Negras, Ticuantepe, Managua, NIC",178502,4517.81,SQ_MT,kwnicaragua.com,Si,"12.014547022776009,-86.21645664631043",https://kwnicaragua.kw.com/property/Ticuantepe-La-Borgoa-km-19-12-carretera-a-la-Concha-Despues-del-Restaurante-Las-Conchas-Negras-Ticuantepe-La-Borgoa-km-19-12-carretera-a-la-Concha-Ticuantepe-La-Borgoa-km-19-12-carretera-a-la-Concha-Despues-del-Restaurante-Las-Conchas-Negras-Ticuantepe-Managua-NIC/1929361138487552,La Borgoña,Ticuantepe,Managua
"Managua, NIC, Managua, Managua, NIC",242000,992,SQ_MT,kwnicaragua.com,Si,"12.085276065185122,-86.2662203439026",https://kwnicaragua.kw.com/property/Managua-Managua-NIC/1988934776882880,Vincent Poujardeu,Managua,Managua
"Managua, NIC, Managua, MN, NIC",250000,916.58,SQ_MT,kwnicaragua.com,Si,"12.087604346510737,-86.2346331358361",https://kwnicaragua.kw.com/property/Managua-MN-NIC/1694728665874944,Urbanización Madrid,Managua,Managua
"Managua, NIC, Managua, Managua, NIC",385000,1393.34,SQ_MT,kwnicaragua.com,Si,"12.085164,-86.24506389999999",https://kwnicaragua.kw.com/property/Managua-Managua-NIC/1988757774495232,Los Altos de Santo Domingo,Managua,Managua
"Nindirí, NIC, Veracruz, Comarca Los Madrigales, Nindirí, Masaya, NIC",16900,565.51,SQ_MT,kwnicaragua.com,Si,"12.0528356,-86.17390429999999",https://kwnicaragua.kw.com/property/Veracruz-Comarca-Los-Madrigales-Nindir-Masaya-NIC/1908113373022848,Lotificación Marbella,Nindirí,Masaya
"Moyogalpa, NIC, Puerto Moyogalpa #Hotel Central  media cuadra al Sur, Moyogalpa, Rivas 48700",72800,443.43,SQ_MT,kwnicaragua.com,Si,"11.540055713227883,-85.69795364918212",https://kwnicaragua.kw.com/property/Puerto-Moyogalpa-Hotel-Central-media-cuadra-al-Sur-Moyogalpa-Rivas-48700/2009024587253784,,Moyogalpa,Rivas
"Masaya, NIC, Residencial Palmetto, Masaya, Ms 41000",245000,481.18,SQ_MT,kwnicaragua.com,Si,"12.047604,-86.19561039999999",https://kwnicaragua.kw.com/property/Residencial-Palmetto-Masaya-Ms-41000/2006084305230328,Valle De Capistrano V etapa,Nindirí,Masaya
"Nindiri, NIC, El Raizón, Nindiri, Masaya, NIC",110400,2327.26,SQ_MT,kwnicaragua.com,Si,"12.02235899471162,-86.16313701645507",https://kwnicaragua.kw.com/property/El-Raizn-Nindiri-Masaya-NIC/1620842619569792,,Nindirí,Masaya
"Managua, NIC, Managua, Managua, NIC",400000,5736.56,SQ_MT,kwnicaragua.com,Si,"12.0844322,-86.2287719",https://kwnicaragua.kw.com/property/Managua-Managua-NIC/2009023798919804,Bosques de Santa María,Managua,Managua
"Managua, NIC, Managua, Managua, NIC",290000,472.32,SQ_MT,kwnicaragua.com,Si,"12.067376434634635,-86.23848355062552",https://kwnicaragua.kw.com/property/Managua-Managua-NIC/1827438924769984,Bosques De Santo Domingo,Managua,Managua
"Managua , NIC, Managua , Managua, NIC",771851,54430,SQ_MT,kwnicaragua.com,Si,"12.1090148,-86.2513121",https://kwnicaragua.kw.com/property/Managua-Managua-NIC/2008269503186688,Barrio 22 de Enero,Managua,Managua
"Rivas, NIC, Rivas, Rivas, NIC",100000,35245,SQ_MT,kwnicaragua.com,Si,"11.4326663,-85.8230251",https://kwnicaragua.kw.com/property/Rivas-Rivas-NIC/2009002003399982,La Puebloa,Rivas,Rivas
"Chinandega, NIC, #Esquina Opuesta del Juzgado Munipal Posoltega, Chinandega, Posoltega 26500",90000,1951.36,SQ_MT,kwnicaragua.com,Si,"12.543629122458944,-86.97943867574841",https://kwnicaragua.kw.com/property/Esquina-Opuesta-del-Juzgado-Munipal-Posoltega-Chinandega-Posoltega-26500/1985680748930496,Posoltega,Posoltega,Chinandega
"Managua, NIC, Managua, MN, NIC",395000,1010.49,SQ_MT,kwnicaragua.com,Si,"12.1029235,-86.29704249999999",https://kwnicaragua.kw.com/property/Managua-MN-NIC/2008202252007168,Barrio Marvin Marín,Managua,Managua
"Managua, NIC, Los Robles, III Etapa Lote - 4A Avenida Principal Los Robles #Quesillo El Pipe, 100v al Este, Managua, MN, NIC",225000,544.62,SQ_MT,kwnicaragua.com,Si,"12.117807981800821,-86.26490222380373",https://kwnicaragua.kw.com/property/Los-Robles-III-Etapa-Lote-4A-Avenida-Principal-Los-Robles-Quesillo-El-Pipe-100v-al-Este-Managua-MN-NIC/1961247831081856,Los Robles,Managua,Managua
"Ciudad Sandino, NIC, #Bloque B-7, Lote No. 154, Ciudad Sandino, Managua, NIC",45000,236.62,ACRES,kwnicaragua.com,Si,"12.163601766039466,-86.37333692072554",https://kwnicaragua.kw.com/property/Bloque-B7-Lote-No-154-Ciudad-Sandino-Managua-NIC/1969653178451072,Valle Santa Rosa,Mateare,Managua
"leon, NIC, leon, el transito, NIC",197000,998,SQ_MT,kwnicaragua.com,Si,"12.0567651,-86.70768029999999",https://kwnicaragua.kw.com/property/leon-el-transito-NIC/2008304914585628,El Tránsito,El Tránsito,León
"Mateare, NIC, Mateare, Managua 15500",50000,175.14,SQ_MT,kwnicaragua.com,Si,"12.19858686574318,-86.38843102338613",https://kwnicaragua.kw.com/property/Mateare-Managua-15500/2006268164363560,Ciudad el Doral,Ciudad El Doral,Managua
"Masaya, NIC, Masaya, Nindirí, NIC",125000,705.01,SQ_MT,kwnicaragua.com,Si,"12.037744966260602,-86.21537585283494",https://kwnicaragua.kw.com/property/Masaya-Nindir-NIC/1948156588013248,Reparto Leonel Reynosa,Ticuantepe,Managua
"Managua, NIC, Colegio Hispano Nicaraguense 1/2 cuadra al oeste, 1/2 cuadra al sur lote 93, Managua, Nicaragua, Managua, Managua 14235",170000,1646,SQ_MT,kwnicaragua.com,Si,"12.092488479534344,-86.24340662642821",https://kwnicaragua.kw.com/property/Colegio-Hispano-Nicaraguense-12-cuadra-al-oeste-12-cuadra-al-sur-lote-93-Managua-Nicaragua-Managua-Managua-14235/1920251744705408,Mirador Norte Santo Domingo,Managua,Managua
"Nindiri, NIC, Nindiri, Masaya 42200",195000,20897,SQ_MT,kwnicaragua.com,Si,"12.0378837,-86.12301529999999",https://kwnicaragua.kw.com/property/Nindiri-Masaya-42200/2003298021365248,San Francisco,Nindirí,Masaya
"Managua, NIC, Managua, Managua, NIC",17000,105,SQ_MT,kwnicaragua.com,Si,"12.129552061368758,-86.15042775314616",https://kwnicaragua.kw.com/property/Managua-Managua-NIC/2008635589521696,,Managua,Managua
