id,titulo,zona,categoria,precio,moneda,hab,banos,m2,lote_vrs,url,imagen,municipio,departamento,lat,lng,geo_tipo,municipio,departamento,lat,lng,geo_tipo
12318,Casa en venta en La Estancia de Santo Domingo,La Estancia de Santo Domingo,46,750000,USD,4,4.5,687.86,2328.67,https://discovernica.com/propiedades/detalles/12318/casa-venta-santo-domingo-4-habitaciones,https://discovernica.com/assets/images/properties/3_69.jpg,Managua,Managua,12.0844023,-86.2393321,bus_stop,Managua,Managua,12.0844023,-86.2393321,bus_stop
15168,Se vende casa con amplio terreno en Matagalpa,Matagalpa,2,400000,USD,3,2.5,250.82,4565.42,https://discovernica.com/propiedades/detalles/15168/casa-venta-amplio-patio-1-piso-matagalpa,https://discovernica.com/assets/images/properties/15168_4.png,Matagalpa,,,,,Matagalpa,,,,
15181,Casaquinta en venta y renta con potencial de inversión en Veracruz,Veracruz,32,1000000,USD,3,3,3000,50000.00,https://discovernica.com/propiedades/detalles/15181/casaquinta-venta-renta-potencial-de-inversión-veracruz,https://discovernica.com/assets/images/properties/15181_1.png,,,,,,,,,,
15162,Se vende casa con potencial comercial y residencial en Linda Vista,Linda Vista,2,175000,USD,3,4,180,675.76,https://discovernica.com/propiedades/detalles/15162/casa-venta-linda-vista-potencial-comercial-residencial,https://discovernica.com/assets/images/properties/15162_1.png,Managua,Managua,12.1552762,-86.3059544,administrative,Managua,Managua,12.1552762,-86.3059544,administrative
15179,Se vende casa con amplio patio en Tipitapa,Tipitapa,2,58000,USD,3,1,110,456.58,https://discovernica.com/propiedades/detalles/15179/casa-venta-tipitapa-managua-3-habitaciones,https://discovernica.com/assets/images/properties/15179_3.png,,,,,,,,,,
15180,Se vende casa con amplio jardín en Carretera Sur,Carretera Sur,2,85000,USD,2,2,88.35,936.92,https://discovernica.com/propiedades/detalles/15180/casa-venta-carretera-sur-2-habitaciones,https://discovernica.com/assets/images/properties/15180_2.png,Managua,Managua,12.1442663,-86.2915488,trunk,Managua,Managua,12.1442663,-86.2915488,trunk
14970,Se vende casa con apartamento en Carretera a Masaya,Carretera a Masaya,46,115000,USD,2,1,177.08,219.19,https://discovernica.com/propiedades/detalles/14970/casa-apartamento-venta-carretera-a-masaya,https://discovernica.com/assets/images/properties/14970_1.png,Masaya,,,,,Masaya,,,,
7068,Se vende/renta amplia casa con piscina en Carretera Sur,Carretera Sur,2,350000,USD,4,3.5,398.04,1866.50,https://discovernica.com/propiedades/detalles/7068/casa-venta-renta-carretera-sur-piscina-vista-al-valle,https://discovernica.com/assets/images/properties/7068_6.png,Managua,Managua,12.1442663,-86.2915488,trunk,Managua,Managua,12.1442663,-86.2915488,trunk
15011,Se vende casa con amplios espacios en Los Robles,Los Robles,46,295000,USD,4,3.5,300,834.96,https://discovernica.com/propiedades/detalles/15011/casa-2-pisos-venta-los-robles,https://discovernica.com/assets/images/properties/15011_1.png,Managua,Managua,12.1212007,-86.2653351,administrative,Managua,Managua,12.1212007,-86.2653351,administrative
12744,Casa espectacular en Venta y Alquiler en Granada ID 12744,Granada,46,1200000,USD,6,6,450,10000,"https://discovernica.com/propiedades/detalles/12744/Casa en venta en Granada, cuenta con amplios espacios, 4 habitaciones, 5 vehículos.",https://discovernica.com/assets/images/properties/4y6ri7ulofy8il.JPG,Granada,,,,,Granada,,,,
12900,Casa en venta situada en una zona segura y tranquila,una zona segura y tranquila,46,225000,USD,3,3,180,255.60,"https://discovernica.com/propiedades/detalles/12900/Casa en venta, 3 habitaciones, 3 baños, sala, cocina, dos plantas.",https://discovernica.com/assets/images/properties/erhtjrytkuhijo.jpg,,,,,,,,,,
14841,Se vende amplia casa en Carretera Vieja a León,Carretera Vieja a León,2,120000,USD,4,4,199.70,800.17,https://discovernica.com/propiedades/detalles/14841/amplia-casa-venta-carretera-vieja-a-león,https://discovernica.com/assets/images/properties/14841_4.png,León,,,,,León,,,,
7928,Casa en venta en Bolonia – Ideal para oficinas o vivienda,Bolonia,2,220000,USD,3,2,242.78,911.33,https://discovernica.com/propiedades/detalles/7928/casa-venta-bolonia-3-habitaciones,https://discovernica.com/assets/images/properties/7928_1.png,Managua,Managua,12.1398941,-86.2815427,administrative,Managua,Managua,12.1398941,-86.2815427,administrative
