id,codigo,titulo,tipo,operacion,zona,departamento,municipio,hab,banos,garaje,precio,moneda,url,imagen,lat,lng,geo_tipo
55473,,"Casa en Venta barrio san judas, managua",Casa,venta,barrio san judas,managua,,,,,90000.00,USD,https://momotomborealestate.com/property/casa-en-venta-barrio-san-judas-managua/,https://momotomborealestate.com/wp-content/uploads/properties/6958_20141009171001806.jpg?v=1752645560,12.1232770,-86.2937124,bus_stop
55512,,"Casa en Venta & Renta reparto san juan, granada",Casa,venta,& Renta reparto san juan,granada,,,,,320000.00,USD,https://momotomborealestate.com/property/casa-en-venta-renta-reparto-san-juan-granada/,https://momotomborealestate.com/wp-content/uploads/properties/15350551311-584x405.jpeg?v=1752645569,11.9303670,-85.9535387,administrative
55651,,"Casa en Venta carretera granada-masaya, granada",Casa,venta,carretera granada-masaya,granada,,,,,160000.00,USD,https://momotomborealestate.com/property/casa-en-venta-carretera-granada-masaya-granada/,,11.9374590,-85.9771508,hospital
55652,,"Casa en Renta santo domingo, managua",Casa,renta,santo domingo,managua,,,,,1000.00,USD,https://momotomborealestate.com/property/casa-en-renta-santo-domingo-managua-56/,,12.1516383,-86.2663177,administrative
55911,,"Casa en Venta villa progreso, managua",Casa,venta,villa progreso,managua,,,,,60000.00,USD,https://momotomborealestate.com/property/casa-en-venta-villa-progreso-managua/,https://momotomborealestate.com/wp-content/uploads/properties/6897_20160829121519457.jpg?v=1752645781,12.1392159,-86.2270680,bus_stop
56189,,"Casa en Renta carretera nueva a leon, managua",Casa,renta,carretera nueva a leon,managua,,,,,250.00,USD,https://momotomborealestate.com/property/casa-en-renta-carretera-nueva-a-leon-managua-6/,https://momotomborealestate.com/wp-content/uploads/properties/6860_20140825121617033.jpg?v=1752645858,12.2289547,-86.4150341,trunk
56734,,"Casa en Venta & Renta Altamira, Managua",Casa,venta,& Renta Altamira,Managua,,,,,230000.00,USD,https://momotomborealestate.com/property/casa-en-venta-renta-altamira-managua-3/,https://momotomborealestate.com/wp-content/uploads/2025/09/3-4-584x438.jpeg?v=1758313984,12.1547116,-86.2737250,administrative
56777,,"Casa en Venta Santo Domingo / Estancia De Santo Domingo, Managua",Casa,venta,Santo Domingo / Estancia De Santo Domingo,Managua,,,,,289000.00,USD,https://momotomborealestate.com/property/casa-en-venta-renta-santo-domingo-estancia-de-santo-domingo-managua/,https://momotomborealestate.com/wp-content/uploads/2026/03/1-7-584x438.jpg?v=1774471650,12.0823397,-86.2393747,residential
56871,,"Casa en Renta carretera sur km 10 1/2, managua",Casa,renta,carretera sur km 10 1/2,managua,,,,,1200.00,USD,https://momotomborealestate.com/property/casa-en-renta-carretera-sur-km-10-1-2-managua/,https://momotomborealestate.com/wp-content/uploads/properties/6769_20140710103318643.jpg?v=1752646179,12.1395260,-86.2977740,trunk
57033,,"Casa en Venta carretera sur / altos de ticomo, managua",Casa,venta,carretera sur / altos de ticomo,managua,,,,,750000.00,USD,https://momotomborealestate.com/property/casa-en-venta-carretera-sur-altos-de-ticomo-managua-2/,https://momotomborealestate.com/wp-content/uploads/properties/6751_20160628114859634.jpg?v=1752646443,12.1547116,-86.2737250,administrative
