id,titulo,slug,loc,precio,moneda,hab,banos,lote,area,url,imagen,municipio,departamento,lat,lng,geo_tipo
35966,bo dinamarca,casa-en-venta-bo-dinamarca/,bo dinamarca,159000,USD,,7,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-bo-dinamarca/,https://www.sovinic.com.ni/wp-content/uploads/2026/03/InShot_20260327_181038976-525x328.jpg,,,12.1391454,-86.3046094,administrative
35910,ticuantepe,casa-en-venta-en-ticuantepe-7/,ticuantepe,165000,USD,,4,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-en-ticuantepe-7/,https://www.sovinic.com.ni/wp-content/uploads/2026/03/WhatsApp-Image-2025-10-10-at-11.03.41-AM-2-525x328.jpeg,Ticuantepe,Managua,12.0217671,-86.2053144,administrative
35668,managua ticuantepe,casa-en-venta-en-ticuantepe-managua/,managua ticuantepe,180000,USD,,2,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-en-ticuantepe-managua/,https://www.sovinic.com.ni/wp-content/uploads/2026/02/WhatsApp-Image-2026-02-23-at-8.40.03-AM-6-525x328.jpeg,Ticuantepe,Managua,12.0630544,-86.2113597,yes
35635,vistas del momotombo,vistas-del-momotombo/,vistas del momotombo,60000,USD,,2,,,https://www.sovinic.com.ni/propiedades/vistas-del-momotombo/,https://www.sovinic.com.ni/wp-content/uploads/2026/02/InShot_20260221_173342932-525x328.jpg,,,12.2185285,-86.3989038,administrative
35329,nicaragua managua,casa-de-lujo-en-managua-nicaragua-2/,nicaragua managua,450000,USD,,4,,,https://www.sovinic.com.ni/propiedades/casa-de-lujo-en-managua-nicaragua-2/,https://www.sovinic.com.ni/wp-content/uploads/2026/01/Lumii_20260120_085011375-525x328.jpg,Managua,Managua,12.1214389,-86.3097786,central_bank
35073,villa holanda masaya,casa-en-venta-en-masaya-villa-holanda/,villa holanda masaya,59590,USD,,1,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-en-masaya-villa-holanda/,https://www.sovinic.com.ni/wp-content/uploads/2025/11/20251104_112018-525x328.jpg,Masaya,Masaya,11.9835729,-86.0758728,neighbourhood
35019,ticuantepe,casa-en-venta-en-ticuantepe/,ticuantepe,49000,USD,,1,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-en-ticuantepe/,https://www.sovinic.com.ni/wp-content/uploads/2025/11/76fdc6d6-f74a-4ea6-8e81-213440e7143f-1-525x328.jpg,Ticuantepe,Managua,12.0217671,-86.2053144,administrative
34992,granada,casa-en-venta-granada/,granada,50000,USD,,1,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-granada/,https://www.sovinic.com.ni/wp-content/uploads/2025/10/Photo_1761846741476-2-525x328.jpg,Granada,Granada,11.9303670,-85.9535387,administrative
34459,santo domingo managua,casa-en-nicaragua-santo-domingo-managua-2/,santo domingo managua,195000,USD,,3.5,,,https://www.sovinic.com.ni/propiedades/casa-en-nicaragua-santo-domingo-managua-2/,https://www.sovinic.com.ni/wp-content/uploads/2025/09/IMG-20250912-WA0070-525x328.jpg,Managua,Managua,12.1533856,-86.2586730,car_parts
34428,serranias managua,casa-amueblada-con-terreno-amplio-en-serranias-managua/,serranias managua,280000,USD,,5,,,https://www.sovinic.com.ni/propiedades/casa-amueblada-con-terreno-amplio-en-serranias-managua/,https://www.sovinic.com.ni/wp-content/uploads/2025/09/IMG-20250919-WA0075-525x328.jpg,Managua,Managua,12.0755141,-86.3316743,electronics
34427,san isidro de la cruz verde,casa-con-terreno-amplio-en-san-isidro-de-la-cruz-verde/,san isidro de la cruz verde,120000,USD,,2,,,https://www.sovinic.com.ni/propiedades/casa-con-terreno-amplio-en-san-isidro-de-la-cruz-verde/,https://www.sovinic.com.ni/wp-content/uploads/2025/09/IMG-20250919-WA0116-525x328.jpg,,,12.0837637,-86.2613725,administrative
34358,ticuantepe,casa-en-venta-en-ticuantepe-5/,ticuantepe,189000,USD,,3,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-en-ticuantepe-5/,https://www.sovinic.com.ni/wp-content/uploads/2025/09/20250707_160202-525x328.jpg,Ticuantepe,Managua,12.0217671,-86.2053144,administrative
34346,loma linda managua,casa-en-venta-en-loma-linda-managua/,loma linda managua,32000,USD,,2,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-en-loma-linda-managua/,https://www.sovinic.com.ni/wp-content/uploads/2025/09/508623441_1110447221105631_4621736204694636711_n-1-525x328.jpg,Managua,Managua,12.0987815,-86.2910172,bus_stop
34333,ticuantepe,casa-en-venta-en-ticuantepe-2/,ticuantepe,67000,USD,,4,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-en-ticuantepe-2/,https://www.sovinic.com.ni/wp-content/uploads/2025/09/20250814_093722-525x328.jpg,Ticuantepe,Managua,12.0217671,-86.2053144,administrative
33863,km carretera masaya,casa-en-venta-km-13-carretera-masaya-2-2/,km carretera masaya,73000,USD,,3,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-km-13-carretera-masaya-2-2/,https://www.sovinic.com.ni/wp-content/uploads/2025/07/654198-525x328.jpg,Masaya,Masaya,12.0631462,-86.2094892,bus_stop
